Product Name,Region,Warehouse ID,Date,Business Unit,Strategic Initiative,Revenue,Expenses,Net Profit,ROI (%),Cost per Unit,Inventory Units,Carrying Cost Rate,Inventory Carrying Cost,Logistics Spend,Automation Investment,Automation Savings,ROI on Automation (%),Risk Category,Risk Score,Risk Status,Order Fulfillment Rate (%),Avg Delivery Time (Days),Network Efficiency Score,Carbon Emission (kg),Emission per Order (kg),Renewable Energy Usage (%),Waste Reduction (%),Initiative Impact Score,Projected Growth (%)
Adidas Sneakers,West,WH_3,2025-04-22,Fashion,Demand Forecasting,61837.03,12805.4,49031.63,382.9,419.85,1846,16.46,127572.09,9710.11,7374.57,546.82,7.41,Low,7.82,Stable,95.1,4.54,83.16,2814.19,1.52,23.26,15.0,92.37,14.19
iPhone 14,North,WH_2,2025-04-06,Home Essentials,Green Logistics,93352.33,67442.24,25910.089999999997,38.42,300.93,2424,11.24,81990.67,12496.35,15678.69,2954.99,18.85,Low,2.29,Watchlist,92.58,3.77,98.14,2026.34,0.84,23.01,19.0,74.99,19.25
iPhone 14,East,WH_1,2025-06-08,Fashion,Demand Forecasting,27271.26,26972.9,298.35999999999694,1.11,488.63,3064,17.94,268590.92,14828.17,10643.27,1520.32,14.28,High,6.93,Watchlist,85.77,2.12,74.48,2609.45,0.85,92.92,34.88,57.99,18.84
IKEA Chair,East,WH_3,2025-05-11,Fashion,Warehouse Automation,65513.74,58862.05,6651.689999999995,11.3,232.04,955,16.11,35699.47,14023.2,4341.86,899.19,20.71,Medium,5.63,Stable,97.98,5.47,87.78,1314.93,1.38,35.9,43.84,66.28,16.68
Barbie Doll,North,WH_2,2025-04-13,Electronics,Demand Forecasting,90222.86,11266.41,78956.45,700.81,296.7,545,18.36,29688.4,3884.24,18629.86,2626.78,14.1,Medium,4.36,Watchlist,95.44,4.98,99.27,1005.53,1.85,30.18,44.61,52.98,7.05
LEGO Set,West,WH_4,2025-05-08,Home Essentials,Warehouse Automation,89776.81,56174.33,33602.479999999996,59.82,396.88,1492,13.67,80946.22,9185.82,5364.34,709.91,13.23,High,5.4,Stable,93.58,6.1,78.38,2325.04,1.56,78.89,22.33,66.36,13.69
iPhone 14,South,WH_4,2025-04-16,Consumer Goods,Demand Forecasting,76012.87,40805.85,35207.02,86.28,218.59,3330,12.19,88731.58,12374.23,16604.54,2332.74,14.05,Low,1.75,Stable,95.05,3.74,76.54,1396.01,0.42,39.12,59.95,50.8,15.04
Wooden Table,West,WH_4,2025-04-28,Consumer Goods,Demand Forecasting,73282.14,17628.49,55653.649999999994,315.7,437.06,3903,15.56,265429.51,2017.73,12918.8,1640.38,12.7,High,4.0,Stable,89.3,5.64,90.94,2031.25,0.52,66.02,20.36,84.23,14.31
Samsung Galaxy S22,North,WH_2,2025-05-12,Fashion,Green Logistics,51881.76,6916.26,44965.5,650.14,189.55,4677,15.57,138032.0,9289.86,15697.93,1219.43,7.77,Medium,3.15,Stable,94.41,5.56,92.57,2677.83,0.57,76.23,47.66,88.04,9.81
Samsung Galaxy S22,West,WH_1,2025-05-12,Fashion,Green Logistics,50716.96,27924.77,22792.19,81.62,416.48,3951,15.65,257522.7,10818.01,11124.25,1206.46,10.85,High,4.31,Critical,98.71,5.95,98.23,664.07,0.17,91.35,32.89,54.01,18.47
Nike T-Shirt,North,WH_4,2025-04-23,Consumer Goods,Warehouse Automation,23315.86,7756.5,15559.36,200.6,110.09,285,9.4,2949.31,14604.47,11287.26,862.41,7.64,Medium,4.78,Critical,94.35,3.1,71.89,2679.48,9.4,38.59,57.37,82.23,11.18
Pasta,East,WH_2,2025-06-17,Home Essentials,Sustainable Packaging,85771.71,40964.11,44807.600000000006,109.38,159.0,1180,18.47,34653.41,5984.44,15996.09,1525.33,9.54,Medium,9.74,Stable,87.15,3.06,98.69,2046.58,1.73,32.86,36.77,59.11,7.63
Samsung Galaxy S22,South,WH_4,2025-04-11,Electronics,Warehouse Automation,61707.27,30001.59,31705.679999999997,105.68,191.14,1780,13.44,45726.8,2450.96,7021.93,833.99,11.88,Medium,5.04,Stable,92.74,2.17,70.75,2827.67,1.59,81.48,57.39,96.39,7.34
Hot Wheels Car,East,WH_4,2025-05-25,Fashion,Demand Forecasting,98262.08,58507.03,39755.05,67.95,82.07,4730,15.93,61838.84,13989.8,7435.0,538.76,7.25,Medium,9.1,Stable,94.83,2.14,70.74,2043.8,0.43,37.63,27.87,66.32,14.12
iPhone 14,South,WH_4,2025-04-18,Fashion,Warehouse Automation,86450.62,60147.23,26303.389999999992,43.73,479.24,4292,10.92,224613.27,8376.05,12460.27,1897.84,15.23,Low,9.18,Watchlist,90.76,5.44,82.83,1465.28,0.34,20.98,27.25,65.4,11.68
LEGO Set,South,WH_2,2025-05-10,Home Essentials,Demand Forecasting,24741.13,19371.56,5369.57,27.72,449.88,3493,7.09,111414.45,9633.34,2635.48,241.3,9.16,Medium,9.9,Critical,99.31,1.86,98.8,2390.29,0.68,27.08,30.47,95.72,11.22
Barbie Doll,South,WH_2,2025-05-10,Electronics,Warehouse Automation,59848.02,7316.39,52531.63,718.0,414.86,4894,9.56,194099.05,9270.65,9805.58,542.92,5.54,Low,2.39,Watchlist,98.86,6.09,84.18,2134.53,0.44,91.41,30.86,74.59,15.32
Samsung Galaxy S22,North,WH_4,2025-06-24,Fashion,Demand Forecasting,42558.36,23046.26,19512.100000000002,84.66,223.67,2212,14.42,71344.11,8188.53,14190.66,1048.93,7.39,High,7.6,Stable,97.26,2.4,71.76,1299.2,0.59,90.27,16.77,58.17,9.09
Nike T-Shirt,East,WH_2,2025-06-21,Consumer Goods,Last-Mile Optimization,94268.53,50872.11,43396.42,85.3,385.56,1601,16.47,101666.27,9783.91,4175.58,478.19,11.45,Medium,8.44,Critical,96.6,2.99,90.94,1406.31,0.88,62.75,27.58,57.19,7.05
Hot Wheels Car,West,WH_2,2025-04-04,Home Essentials,Last-Mile Optimization,29608.86,17387.68,12221.18,70.29,417.47,4676,14.2,277196.74,12808.41,10987.4,1718.64,15.64,High,7.32,Stable,91.05,6.54,73.5,828.08,0.18,21.39,27.41,84.55,7.09
iPhone 14,East,WH_3,2025-06-27,Electronics,Last-Mile Optimization,20673.72,7017.43,13656.29,194.61,350.18,1956,9.61,65823.89,4727.93,19641.08,2650.78,13.5,Low,1.7,Watchlist,95.98,1.73,73.23,2482.64,1.27,61.08,12.96,55.95,8.8
Hot Wheels Car,North,WH_4,2025-06-07,Consumer Goods,Green Logistics,62884.27,16578.27,46306.0,279.32,338.59,339,6.36,7300.14,12996.2,18895.05,4530.25,23.98,Medium,4.17,Critical,96.32,4.87,85.15,670.84,1.98,85.57,48.16,76.44,15.74
Hot Wheels Car,South,WH_3,2025-04-30,Consumer Goods,Green Logistics,55377.57,40655.03,14722.54,36.21,189.57,4928,7.78,72680.83,10755.83,3039.17,659.34,21.69,Medium,4.82,Critical,88.3,2.12,99.54,809.04,0.16,28.83,16.8,88.11,15.57
Wooden Table,North,WH_3,2025-04-13,Consumer Goods,Last-Mile Optimization,35525.03,23326.91,12198.119999999999,52.29,162.88,3736,8.39,51054.8,7294.67,19714.28,2673.11,13.56,Low,9.05,Watchlist,98.62,3.52,70.38,2185.4,0.58,73.77,29.82,76.13,15.15
Samsung Galaxy S22,West,WH_1,2025-06-30,Home Essentials,Sustainable Packaging,90318.49,19395.21,70923.28,365.67,188.22,1730,10.08,32822.56,9734.49,19822.57,1477.82,7.46,Medium,7.53,Watchlist,96.09,5.71,87.81,2390.76,1.38,84.08,57.16,67.8,15.0
LEGO Set,West,WH_3,2025-05-04,Fashion,Warehouse Automation,20997.11,12828.05,8169.060000000001,63.68,123.1,1202,5.45,8064.16,11591.38,16775.94,2510.13,14.96,Low,9.75,Watchlist,93.77,3.3,79.08,2058.08,1.71,80.81,43.05,76.0,12.38
Bookshelf,East,WH_4,2025-05-18,Home Essentials,Demand Forecasting,40925.41,35884.08,5041.330000000002,14.05,277.84,358,19.86,19754.09,13441.63,3263.55,456.97,14.0,Medium,4.98,Stable,85.48,4.56,95.81,1257.61,3.51,76.48,34.57,56.72,15.74
Pasta,North,WH_2,2025-06-19,Home Essentials,Sustainable Packaging,52283.65,31585.49,20698.16,65.53,86.59,556,10.87,5233.26,8430.98,19446.54,3371.8,17.34,Medium,7.9,Watchlist,89.65,1.65,71.35,2592.34,4.66,47.91,47.1,51.34,18.37
Adidas Sneakers,North,WH_3,2025-05-12,Home Essentials,Last-Mile Optimization,15080.43,7461.93,7618.5,102.1,124.96,2656,13.89,46100.04,13835.06,2244.5,249.1,11.1,Medium,2.53,Critical,89.73,4.04,95.9,1920.12,0.72,92.11,23.33,84.8,13.82
Corn Flakes,West,WH_4,2025-04-26,Home Essentials,Last-Mile Optimization,53952.28,38819.37,15132.909999999996,38.98,110.9,4169,12.54,57977.7,11943.75,7451.25,1288.81,17.3,Medium,9.72,Stable,92.21,6.16,93.61,2600.95,0.62,62.87,24.37,52.38,19.94
Samsung Galaxy S22,South,WH_3,2025-06-11,Consumer Goods,Sustainable Packaging,34602.84,21767.89,12834.949999999997,58.96,270.22,3598,8.15,79238.5,12343.47,13379.2,1476.65,11.04,Medium,4.9,Critical,89.54,3.78,77.54,1788.42,0.5,73.72,37.38,94.04,14.42
Pasta,South,WH_3,2025-06-15,Home Essentials,Warehouse Automation,34114.24,23572.74,10541.499999999996,44.72,406.38,3653,19.02,282353.07,11446.0,2137.75,192.67,9.01,Medium,2.33,Stable,95.82,5.71,95.32,1525.65,0.42,88.81,55.56,81.7,17.69
Pasta,East,WH_3,2025-06-08,Electronics,Last-Mile Optimization,46527.93,9715.85,36812.08,378.89,104.04,2111,16.96,37248.98,6037.03,10222.26,2537.76,24.83,Medium,6.82,Stable,87.93,3.0,70.87,2474.17,1.17,42.22,37.54,82.21,5.63
Adidas Sneakers,North,WH_2,2025-06-10,Consumer Goods,Green Logistics,88045.46,79788.66,8256.800000000003,10.35,209.43,3077,15.08,97177.95,13514.35,8541.01,1861.62,21.8,Low,3.12,Critical,95.65,6.63,85.66,2572.45,0.84,95.97,56.58,62.59,18.27
Barbie Doll,North,WH_2,2025-06-24,Fashion,Last-Mile Optimization,45095.56,35006.48,10089.079999999994,28.82,125.61,3564,8.27,37022.64,3388.58,5068.06,531.69,10.49,Medium,3.29,Critical,85.81,4.43,90.99,782.4,0.22,63.66,33.74,62.32,9.17
Tomato Ketchup,South,WH_4,2025-05-27,Fashion,Demand Forecasting,37735.43,26127.37,11608.060000000001,1.13,453.56,385,17.62,30768.15,10608.9,18876.12,3551.29,18.81,High,3.16,Critical,90.58,5.01,91.02,2757.89,7.16,74.82,36.75,61.82,11.64
Hot Wheels Car,East,WH_4,2025-04-10,Fashion,Green Logistics,28934.78,26307.86,2626.9199999999983,9.99,458.79,2698,18.19,225158.62,11967.63,8719.49,495.06,5.68,Low,8.41,Watchlist,91.83,3.77,95.23,2293.47,0.85,90.14,51.01,91.22,15.48
Tomato Ketchup,East,WH_4,2025-06-24,Home Essentials,Sustainable Packaging,39409.15,28921.59,10487.560000000001,36.26,383.37,1605,14.45,88912.13,12283.25,3585.75,466.62,13.01,High,3.75,Critical,86.19,2.37,85.49,2924.16,1.82,86.45,48.16,92.35,15.29
Barbie Doll,East,WH_4,2025-06-05,Home Essentials,Demand Forecasting,33461.19,24566.13,8895.060000000001,36.21,415.12,2408,7.98,79768.8,7388.45,4455.9,1003.82,22.53,High,3.02,Stable,98.39,5.06,88.8,2767.11,1.15,97.93,19.91,85.06,7.53
Samsung Galaxy S22,West,WH_3,2025-05-06,Fashion,Warehouse Automation,95251.92,15591.11,79660.81,510.94,362.11,3664,16.6,220243.99,14067.7,16717.89,2488.12,14.88,Low,7.42,Stable,98.72,5.97,77.99,2366.11,0.65,50.57,31.57,60.33,8.23
IKEA Chair,South,WH_3,2025-04-01,Home Essentials,Warehouse Automation,36117.37,13146.51,22970.86,174.73,312.66,2134,10.54,70324.61,10895.47,9705.12,505.29,5.21,Low,8.84,Critical,90.76,2.67,81.5,1558.23,0.73,67.78,13.65,77.85,5.78
Pasta,West,WH_3,2025-06-23,Fashion,Sustainable Packaging,77341.77,8292.41,69049.36,832.68,134.29,3220,9.54,41252.28,7131.06,8047.12,1960.37,24.36,High,1.37,Stable,88.77,4.27,97.91,2694.74,0.84,30.55,25.87,76.52,7.13
Barbie Doll,North,WH_3,2025-05-24,Electronics,Demand Forecasting,42453.3,21108.14,21345.160000000003,101.12,452.37,2256,14.19,144815.58,11900.33,6011.4,676.9,11.26,Low,3.84,Watchlist,96.07,2.33,95.59,2143.55,0.95,83.86,12.66,57.43,8.45
IKEA Chair,East,WH_3,2025-04-29,Electronics,Demand Forecasting,93448.57,8607.97,84840.6,985.61,184.69,4694,12.28,106459.6,8408.85,17070.93,3813.23,22.34,Low,4.15,Stable,97.59,2.49,75.05,1771.84,0.38,41.82,54.54,79.28,13.75
Levi's Jeans,South,WH_3,2025-05-22,Home Essentials,Green Logistics,18487.47,9432.76,9054.710000000001,95.99,149.3,1099,10.91,17901.2,9674.4,19073.18,4146.42,21.74,Low,1.26,Watchlist,97.05,5.13,83.62,2888.0,2.63,67.54,10.29,98.49,14.84
Barbie Doll,East,WH_4,2025-04-26,Electronics,Warehouse Automation,67927.96,25336.48,42591.48000000001,168.1,37.21,679,13.21,3337.58,9829.79,2758.47,278.7,10.1,Low,9.69,Watchlist,86.29,6.19,74.89,2448.73,3.61,42.79,47.63,82.7,6.81
Sony Headphones,West,WH_2,2025-05-22,Fashion,Sustainable Packaging,18650.03,10015.8,8634.23,86.21,107.94,3749,18.28,73973.14,8193.72,11698.08,1574.73,13.46,Medium,8.3,Critical,87.7,4.97,72.79,1783.35,0.48,97.86,43.82,82.38,15.7
IKEA Chair,North,WH_2,2025-04-30,Fashion,Demand Forecasting,82139.02,28172.04,53966.98,191.56,492.25,2560,17.62,222040.19,8800.2,6614.15,393.84,5.95,Low,9.26,Critical,86.56,3.84,72.83,2152.14,0.84,65.48,22.67,62.74,6.23
LEGO Set,North,WH_1,2025-04-27,Home Essentials,Warehouse Automation,45366.16,8362.12,37004.04,442.52,439.61,2538,9.71,108337.4,11413.23,15389.73,2154.4,14.0,Medium,4.07,Stable,88.06,1.93,99.47,1148.29,0.45,73.87,31.69,50.9,-5.23
Corn Flakes,West,WH_3,2025-06-12,Home Essentials,Last-Mile Optimization,72159.61,69684.21,2475.399999999994,3.55,340.8,2579,6.31,55460.05,3756.48,4625.24,986.07,21.32,High,9.73,Stable,88.03,5.07,89.49,1589.47,0.62,70.08,49.5,59.55,9.51
Samsung Galaxy S22,West,WH_1,2025-04-29,Home Essentials,Green Logistics,23718.0,18151.23,5566.77,30.67,482.29,3962,5.29,101083.06,7843.71,5609.96,611.3,10.9,Medium,1.46,Stable,86.49,6.16,82.95,1539.21,0.39,59.66,38.93,86.55,19.99
Corn Flakes,West,WH_2,2025-06-20,Home Essentials,Sustainable Packaging,94175.29,85710.16,8465.12999999999,9.88,435.14,1999,15.71,136652.63,8868.01,9018.09,1020.58,11.32,Low,3.41,Critical,91.05,4.1,84.84,2847.41,1.42,47.74,44.88,51.04,9.32
Bookshelf,East,WH_3,2025-04-19,Home Essentials,Warehouse Automation,91816.31,34444.01,57372.299999999996,166.57,305.03,3937,6.97,83702.95,5814.12,14516.32,3512.38,24.2,High,6.87,Watchlist,96.54,5.9,95.34,2054.61,0.52,42.6,47.46,83.35,6.94
Wooden Table,West,WH_2,2025-05-08,Consumer Goods,Demand Forecasting,28848.96,6122.08,22726.879999999997,371.23,18.88,2236,10.36,4373.54,4061.87,16731.03,3829.59,22.89,Low,8.26,Watchlist,91.24,4.9,73.62,1060.24,0.47,40.63,27.02,67.76,5.7
Corn Flakes,East,WH_3,2025-06-04,Electronics,Sustainable Packaging,73576.44,68545.13,5031.309999999998,7.34,224.54,3844,19.44,167792.81,11824.94,19518.54,4027.27,20.63,High,8.04,Stable,96.94,1.73,73.16,2074.82,0.54,89.67,55.55,57.85,9.38
Pasta,West,WH_1,2025-05-11,Consumer Goods,Warehouse Automation,83724.47,14681.81,69042.66,470.26,108.93,3505,16.54,63149.66,2085.64,16861.45,2440.4,14.47,Medium,5.55,Stable,88.86,5.43,82.45,2073.6,0.59,39.64,47.66,76.48,16.81
Hot Wheels Car,West,WH_1,2025-05-28,Home Essentials,Demand Forecasting,56453.98,40101.84,16352.140000000007,40.78,472.43,3725,7.18,126353.77,2129.33,16318.69,3895.74,23.87,Low,4.04,Watchlist,99.24,2.4,71.84,2397.98,0.64,72.81,42.07,95.13,5.87
Hot Wheels Car,East,WH_4,2025-06-23,Home Essentials,Demand Forecasting,59824.94,21684.49,38140.45,175.89,373.92,2919,5.12,55883.39,5637.15,11028.04,2581.56,23.41,High,4.64,Critical,87.97,4.49,93.65,2130.09,0.73,75.8,54.38,89.08,11.07
Bookshelf,East,WH_2,2025-05-13,Consumer Goods,Green Logistics,75258.88,56995.24,18263.640000000007,32.04,71.74,4530,9.26,30093.35,3206.65,11483.93,1771.59,15.43,High,2.44,Stable,97.91,4.47,77.76,2580.57,0.57,44.32,31.14,75.26,15.98
iPhone 14,East,WH_2,2025-06-04,Fashion,Green Logistics,50386.32,30980.73,19405.59,62.64,12.55,2876,19.74,7124.92,12470.04,19791.0,3228.3,16.31,High,6.99,Critical,88.39,3.15,90.01,2537.7,0.88,65.82,17.0,68.88,16.06
Samsung Galaxy S22,South,WH_3,2025-04-23,Fashion,Demand Forecasting,48312.29,22846.96,25465.33,111.46,55.2,3580,18.33,36223.01,8191.29,9477.12,1173.83,12.39,High,4.62,Critical,92.52,3.67,77.91,1747.07,0.49,53.87,32.0,96.55,12.34
Sony Headphones,South,WH_3,2025-05-23,Electronics,Sustainable Packaging,51194.15,49717.41,1476.739999999998,2.97,261.46,4434,6.77,78485.53,4764.35,9993.76,1991.75,19.93,High,4.32,Stable,93.72,3.75,73.63,1929.41,0.44,23.22,17.67,68.57,19.87
Sony Headphones,West,WH_2,2025-06-14,Consumer Goods,Warehouse Automation,14378.59,13386.83,991.7600000000002,7.41,445.64,1866,7.75,64446.23,11615.58,1039.63,165.83,15.95,Low,8.83,Watchlist,91.98,3.2,83.57,1344.56,0.72,50.18,51.72,91.68,6.99
Sony Headphones,West,WH_3,2025-06-11,Home Essentials,Demand Forecasting,18038.35,13145.98,4892.369999999999,37.22,315.56,3272,8.49,87660.3,7140.16,11278.89,2725.16,24.16,Medium,7.62,Critical,86.28,2.41,70.74,2075.27,0.63,81.73,25.44,82.26,14.66
Bookshelf,North,WH_1,2025-04-04,Electronics,Demand Forecasting,69242.9,39168.19,30074.709999999992,76.78,481.56,2352,16.8,190281.69,5188.73,14406.74,3277.98,22.75,Medium,1.76,Critical,93.8,3.71,71.35,2654.94,1.13,21.86,31.85,70.75,17.89
Samsung Galaxy S22,East,WH_1,2025-06-06,Consumer Goods,Green Logistics,35681.66,10604.59,25077.070000000003,236.47,386.47,1363,9.6,50568.83,7294.59,4214.63,728.69,17.29,Medium,2.63,Critical,85.85,3.64,79.6,1532.06,1.12,45.94,28.78,91.39,6.81
LEGO Set,South,WH_3,2025-06-13,Home Essentials,Sustainable Packaging,95442.14,29354.94,66087.2,225.13,165.98,4631,11.11,85397.39,8294.23,8742.38,845.81,9.67,Low,3.42,Critical,94.79,2.85,86.64,2463.04,0.53,44.37,30.34,54.2,14.54
Sony Headphones,South,WH_3,2025-04-18,Fashion,Sustainable Packaging,95735.14,92228.42,3506.720000000001,3.8,282.02,442,5.02,6257.57,8040.48,16758.06,1807.35,10.78,Low,1.0,Watchlist,88.96,2.88,90.4,2998.1,6.78,87.4,20.64,92.03,9.22
IKEA Chair,North,WH_3,2025-06-04,Fashion,Green Logistics,84744.83,62820.89,21923.940000000002,34.9,499.42,3638,8.16,148258.22,8562.66,16239.07,3682.8,22.68,Medium,6.72,Critical,91.56,2.85,99.49,1354.07,0.37,56.78,39.98,50.79,15.38
Hot Wheels Car,North,WH_3,2025-04-22,Home Essentials,Green Logistics,25618.24,16459.43,9158.810000000001,55.64,351.28,4105,16.44,237065.52,8995.71,15958.8,2869.7,17.98,Low,5.85,Critical,91.46,2.18,99.16,1440.94,0.35,68.1,29.34,91.96,17.18
Hot Wheels Car,North,WH_4,2025-04-15,Home Essentials,Last-Mile Optimization,10842.7,9341.97,1500.7300000000014,16.06,381.63,3031,7.87,91033.91,12611.65,12879.49,2726.37,21.17,Low,3.11,Watchlist,99.03,1.7,84.79,2260.12,0.75,68.48,10.36,99.21,14.58
Bookshelf,East,WH_3,2025-04-22,Home Essentials,Warehouse Automation,76493.33,53056.07,23437.260000000002,44.17,305.46,1537,5.98,28075.62,3667.2,2235.94,227.9,10.19,High,8.7,Critical,95.57,3.01,95.43,557.79,0.36,97.58,43.89,80.72,15.21
Barbie Doll,North,WH_2,2025-05-14,Home Essentials,Green Logistics,85990.74,37953.18,48037.560000000005,126.57,69.64,4345,12.0,36310.3,6699.13,15421.41,3496.97,22.68,Low,1.42,Watchlist,92.72,3.24,81.76,1336.76,0.31,90.41,50.38,99.51,8.38
Sony Headphones,North,WH_3,2025-05-10,Electronics,Warehouse Automation,15655.97,11663.12,3992.8499999999985,34.23,23.66,3638,17.12,14736.05,9702.9,12899.65,1507.46,11.69,Medium,3.22,Watchlist,88.46,3.37,71.63,1333.97,0.37,83.53,57.18,88.79,14.29
iPhone 14,West,WH_2,2025-04-13,Consumer Goods,Green Logistics,38195.15,33139.27,5055.880000000005,15.26,41.86,1144,5.93,2839.75,12431.03,2040.99,351.35,17.21,Medium,1.59,Critical,85.81,1.79,95.5,1504.21,1.31,69.38,30.56,93.23,16.81
LEGO Set,West,WH_2,2025-05-29,Home Essentials,Demand Forecasting,65818.96,11159.62,54659.340000000004,489.8,328.95,312,11.81,12120.89,6266.52,4657.15,328.51,7.05,High,7.42,Critical,96.45,2.56,87.2,2093.41,6.71,40.5,31.05,86.23,11.67
Nike T-Shirt,North,WH_1,2025-06-14,Consumer Goods,Warehouse Automation,56181.32,38355.12,17826.199999999997,46.48,185.29,4881,18.28,165324.41,12081.44,3800.77,424.68,11.17,Medium,3.62,Stable,92.51,5.12,74.34,1093.47,0.22,85.53,37.97,52.73,10.16
Levi's Jeans,South,WH_1,2025-06-16,Consumer Goods,Last-Mile Optimization,72530.34,71309.61,1220.729999999996,1.71,303.88,2812,17.78,151931.98,9359.26,7377.55,810.99,10.99,Medium,2.46,Watchlist,97.7,6.51,84.88,2799.88,1.0,71.1,44.66,73.33,8.2
IKEA Chair,East,WH_4,2025-04-27,Home Essentials,Warehouse Automation,99089.02,39137.11,59951.91,153.18,46.13,345,13.32,2119.86,3851.23,9367.75,1651.22,17.63,Medium,1.4,Stable,87.89,3.06,76.57,1155.0,3.35,33.94,52.38,62.3,7.94
Barbie Doll,East,WH_4,2025-06-05,Consumer Goods,Green Logistics,44103.05,35790.29,8312.760000000002,23.23,64.37,1822,9.58,11235.63,5121.95,16380.27,2984.19,18.22,High,9.79,Critical,97.78,6.33,71.96,861.08,0.47,93.93,49.74,59.58,10.67
LEGO Set,West,WH_3,2025-06-19,Electronics,Green Logistics,27019.19,16790.58,10228.609999999997,60.92,396.9,2784,8.71,96242.85,10182.97,6321.39,475.95,7.53,High,9.72,Watchlist,88.03,1.95,84.12,2158.76,0.78,25.19,35.43,87.57,14.68
Adidas Sneakers,West,WH_2,2025-06-12,Home Essentials,Warehouse Automation,57292.81,30272.96,27019.85,89.25,478.32,3981,9.03,171948.53,7212.3,18502.52,3086.16,16.68,Low,2.86,Stable,91.56,2.79,76.56,1562.56,0.39,50.17,17.86,92.12,8.82
Bookshelf,North,WH_2,2025-05-08,Fashion,Demand Forecasting,62556.6,31778.39,30778.21,96.85,314.35,3590,11.77,132826.39,7622.57,7982.73,1193.49,14.95,Medium,4.44,Stable,91.4,2.96,72.28,2753.69,0.77,43.56,35.09,77.33,6.17
Samsung Galaxy S22,South,WH_2,2025-05-02,Consumer Goods,Green Logistics,59142.35,23070.43,36071.92,156.36,340.8,2148,9.54,69836.46,12602.34,13987.25,1467.16,10.49,High,6.44,Stable,99.48,5.64,92.19,2780.96,1.29,20.68,24.97,91.12,16.75
Pasta,West,WH_2,2025-06-25,Consumer Goods,Demand Forecasting,95634.0,83440.66,12193.339999999997,14.61,121.51,1819,12.12,26788.43,8705.73,15933.52,3210.99,20.15,High,8.33,Watchlist,96.48,3.22,75.64,2425.33,1.33,75.84,20.48,72.5,13.38
Wooden Table,South,WH_3,2025-06-27,Fashion,Green Logistics,41919.62,13325.03,28594.590000000004,214.59,218.6,3404,16.44,122332.41,10976.74,6693.11,1120.37,16.74,High,8.07,Stable,87.23,6.74,79.91,2074.6,0.61,68.24,40.39,93.35,19.7
IKEA Chair,West,WH_3,2025-04-16,Consumer Goods,Sustainable Packaging,19777.45,13415.98,6361.470000000001,47.42,231.25,2595,6.4,38406.0,3356.07,11505.23,649.03,5.64,High,6.43,Stable,87.71,1.88,98.89,1209.54,0.47,38.64,42.98,53.5,5.86
IKEA Chair,South,WH_3,2025-04-04,Fashion,Demand Forecasting,21622.39,11955.03,9667.359999999999,80.86,374.14,3286,19.33,237647.67,13254.09,3468.71,316.12,9.11,Medium,8.36,Critical,91.88,4.82,98.17,1968.73,0.6,60.2,44.24,63.77,5.11
LEGO Set,North,WH_2,2025-04-17,Home Essentials,Sustainable Packaging,39600.23,24695.46,14904.770000000004,60.35,250.57,3890,13.64,132951.44,11584.78,6470.32,1463.58,22.62,Medium,4.12,Critical,96.49,3.65,94.7,2624.61,0.67,53.2,18.98,80.89,11.48
Tomato Ketchup,South,WH_4,2025-04-08,Consumer Goods,Demand Forecasting,89698.76,18376.66,71322.09999999999,388.11,442.45,4505,9.38,186965.65,13911.85,14262.84,2773.86,19.45,Low,9.18,Watchlist,99.39,4.54,99.86,691.33,0.15,28.42,48.33,66.3,11.76
Samsung Galaxy S22,North,WH_3,2025-06-23,Home Essentials,Green Logistics,70805.99,35396.05,35409.94,100.04,178.39,3371,17.84,107281.32,7156.77,1204.01,87.82,7.29,Low,3.94,Critical,91.73,4.04,72.48,2142.56,0.64,77.09,31.89,73.54,9.19
Nike T-Shirt,North,WH_3,2025-04-18,Consumer Goods,Warehouse Automation,76730.18,17083.19,59646.98999999999,349.16,338.98,191,15.16,9815.37,3995.45,7803.65,728.35,9.33,Low,9.03,Critical,88.13,5.33,95.1,2528.78,13.24,71.28,45.82,94.85,10.86
LEGO Set,North,WH_3,2025-05-25,Consumer Goods,Green Logistics,28156.42,10782.15,17374.269999999997,161.14,455.29,1738,6.37,50405.43,7481.88,19796.52,2324.57,11.74,Low,7.12,Stable,88.2,6.35,93.91,2576.13,1.48,33.43,18.35,70.78,6.62
IKEA Chair,South,WH_2,2025-05-04,Electronics,Sustainable Packaging,30916.73,7744.2,23172.53,299.22,168.45,222,11.03,4124.77,6111.12,8394.55,1189.97,14.18,Low,6.92,Watchlist,94.42,3.53,72.02,1046.4,4.71,44.12,39.94,99.16,6.53
Corn Flakes,South,WH_2,2025-05-21,Fashion,Green Logistics,72668.38,50872.43,21795.950000000004,42.84,486.46,1188,9.98,57675.87,30778.77,17795.37,2021.44,11.36,High,5.34,Watchlist,85.26,6.52,83.47,1777.57,1.5,79.35,35.17,85.23,5.2
LEGO Set,East,WH_2,2025-04-20,Electronics,Demand Forecasting,17145.07,6670.62,10474.45,157.02,254.38,1754,7.28,32482.09,4657.01,1720.23,403.71,23.47,High,9.9,Watchlist,95.72,3.31,78.34,2109.01,1.2,80.84,36.04,98.88,14.72
Adidas Sneakers,North,WH_3,2025-04-07,Electronics,Last-Mile Optimization,58538.06,53539.32,4998.739999999998,9.34,335.85,2134,17.02,121983.0,11051.61,5226.44,1173.55,22.45,High,3.89,Watchlist,94.13,1.86,84.75,2884.15,1.35,24.17,59.6,96.91,6.88
